Country,YearsCode,YearsCodePro,WorkExp,DevType,Age,EdLevel,LanguageHaveWorkedWith,ConvertedCompYearly
Germany,20.0,5.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Delphi;HTML/CSS;PHP;PowerShell;Python;SQL,85672.0
Germany,13.0,10.0,,Data or business analyst,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C++;PowerShell;Python,69608.0
India,10.0,6.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;Scala;SQL,41197.0
United States of America,8.0,6.0,,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SQL,150000.0
Other,14.0,10.0,10.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;Java;JavaScript;R;SQL;VBA,3237.0
Canada,7.0,5.0,7.0,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;HTML/CSS;JavaScript;Python;TypeScript,52046.0
Other,8.0,8.0,16.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C#;HTML/CSS;MATLAB;Python;R;SQL,74963.0
Netherlands,7.0,6.0,7.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,74963.0
Italy,23.0,19.0,,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Go;Java;JavaScript,42836.0
Germany,31.0,25.0,26.0,Data or business analyst,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Python;SQL,79246.0
Germany,21.0,14.0,14.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL,64254.0
India,12.0,8.0,8.0,Data scientist or machine learning specialist,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R;Scala;SQL,24234.0
United States of America,16.0,12.0,,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C;C++;Fortran;Go;HTML/CSS;JavaScript;Julia;PowerShell;Python;R;SAS;SQL;TypeScript,167000.0
Switzerland,25.0,20.0,25.0,Data scientist or machine learning specialist,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Go;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript,132260.0
United States of America,10.0,2.0,,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C#;C++;Erlang;JavaScript;Python;SQL,80000.0
Germany,13.0,3.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Julia;MATLAB;Python,117798.0
United States of America,8.0,7.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python,165974.0
Spain,22.0,13.0,13.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;Scala;SQL,64254.0
India,6.0,4.0,4.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C#;HTML/CSS;JavaScript;Python;SQL,16964.0
United States of America,25.0,25.0,,"Engineer, data",35-44 years old,"Associate degree (A.A., A.S., etc.)",C#;Python;SQL,170000.0
France,7.0,2.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;SQL;VBA,88884.0
United Kingdom of Great Britain and Northern Ireland,31.0,24.0,,"Engineer, data",45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Go;Python;SQL,186207.0
United States of America,12.0,10.0,,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python;R;SAS;SQL,125000.0
Canada,20.0,8.0,8.0,Data or business analyst,35-44 years old,Some college/university study without earning a degree,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),63199.0
India,3.0,2.0,10.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,36351.0
